gene_idx	gene_name	category	n_train_flipped	cutoff_99th
0	FEOBHI_05250 Sensor histidine kinase	other	1626	7.55039381980896
1	FEOBHI_04095 stressosome-associated protein Prli42	other	1617	5.300962810516349
2	FEOBHI_12485 Phage protein	phage	1707	7.823516798019409
3	FEOBHI_12960 Transposase	other	1653	10.236192550659181
4	FEOBHI_01310 Integrase	phage	1536	6.378115153312688
5	FEOBHI_05210 Phage protein	phage	1635	7.442303934097292
6	FEOBHI_02105 Metal homeostasis protein	other	1647	6.479242706298828
7	FEOBHI_05230 Transposase	other	1698	7.726054434776302
8	FEOBHI_10520 SE2200 family small protein	other	1578	6.841030588150026
9	FEOBHI_07175 PadR family transcriptional regulator	other	1539	6.625707139968869
10	FEOBHI_03040 50S ribosomal protein L36	core	1623	2.186617102622983
11	FEOBHI_10980 O-succinylbenzoate synthase	other	1617	6.2310311889648435
12	FEOBHI_11510 DUF721 domain-containing protein	other	1722	6.462686829566955
13	FEOBHI_04765 Transcriptional regulator	other	1638	6.315899558067321
14	FEOBHI_07900 SAR1012 family small protein	other	1677	6.265520877838135
15	FEOBHI_03160 Doubtful CDS No database matches	other	1641	6.376483154296873
16	FEOBHI_05200 Phage protein	phage	1581	9.275425529479984
17	FEOBHI_05930 Antibacterial protein	other	1668	6.037565460205077
18	FEOBHI_05935 Phenol soluble modulin	other	1569	6.7072553062438915
19	FEOBHI_07705 glycopeptide resistance-associated protein GraF	other	1713	7.427419433593748
20	FEOBHI_09330 delta-hemolysin	other	1572	10.55865610122679
21	FEOBHI_09000 Phage protein	phage	1602	8.809980640411379
22	FEOBHI_09880 50S ribosomal protein L34	core	1620	6.239493861198424
23	FEOBHI_10120 Lmo0850 family protein	other	1689	5.4270631027221645
24	FEOBHI_09340 50S ribosomal protein L34	core	1761	6.896550178527836
25	FEOBHI_12630 Lantibiotic	other	1629	5.824675369262696
26	FEOBHI_12810 Truncated transposase	other	1695	7.465411682128906
27	FEOBHI_00815 VanZ domain-containing protein	other	1719	6.467582340240479
28	FEOBHI_03555 SAS049 family protein	other	1569	7.6817394256591776
29	FEOBHI_03910 50S ribosomal protein L33	core	1653	4.168429222106935
30	FEOBHI_05080 50S ribosomal protein L33	core	1641	4.773708152770996
31	FEOBHI_09080 Phage protein	phage	1746	8.703519392013549
32	FEOBHI_12425 YbjN domain-containing protein	other	1656	8.007800722122196
33	FEOBHI_00065 Phage protein	phage	1698	7.453447389602658
34	FEOBHI_00555 DUF600 domain-containing protein	other	1476	8.55368971824646
35	FEOBHI_04370 Phage associated transcriptional activator	phage	1554	6.963937788009644
36	FEOBHI_08430 Teichoic acid D-Ala incorporation-associated protein DltX	other	1656	3.7170137524604807
37	FEOBHI_08980 Transposase	other	1500	8.469274902343747
38	FEOBHI_12165 SAS053 family protein	other	1557	5.882076034545899
39	FEOBHI_12775 Lipoprotein	other	1608	6.0580339241028005
40	FEOBHI_04470 Phage protein	phage	1593	9.367903518676757
41	FEOBHI_08620 Cytosolic protein	other	1629	4.334669952392578
42	FEOBHI_09180 Phage protein	phage	1587	8.54926919937133
43	FEOBHI_02885 SE1832 family protein	other	1638	5.588431682586669
44	FEOBHI_04515 XkdX family protein	phage	1674	8.95198429107666
45	FEOBHI_07355 Protein VraX	other	1650	6.250599489212035
46	FEOBHI_13005 hydroxymethylglutaryl-CoA synthase	other	1662	8.78429083824157
47	FEOBHI_01725 ABC transporter ATP-binding protein	other	1557	7.147108879089356
48	FEOBHI_07235 DUF443 domain-containing protein	other	1614	6.42017611980437
49	FEOBHI_10045 type II toxin-antitoxin system antitoxin MazE	other	1755	6.065176057815555
50	FEOBHI_11865 FeoB-associated Cys-rich membrane protein	other	1680	7.677637686729449
51	FEOBHI_11970 Lipoprotein	other	1626	5.857694506645203
52	FEOBHI_12420 Replication protein	other	1674	6.704903750419615
53	FEOBHI_12535 Phage protein	phage	1743	7.165486984252912
54	FEOBHI_00865 Phage protein	phage	1614	7.684520583152767
55	FEOBHI_06150 50S ribosomal protein L32	core	1644	6.599677438735958
56	FEOBHI_06795 AraC family transcriptional regulator	other	1557	5.990549926757812
57	FEOBHI_08795 NETI motif-containing protein	other	1572	6.626609139442443
58	FEOBHI_08860 Exported protein	other	1638	7.670842266082758
59	FEOBHI_13150 Pathogenicity island protein	other	1542	7.453961191177362
60	FEOBHI_13365 Bacteriocin	other	1731	8.962790393829355
61	FEOBHI_03790 30S ribosomal protein S21	core	1668	6.095744533538795
62	FEOBHI_04260 hypothetical protein	other	1488	8.449082851409894
63	FEOBHI_07950 DUF2187 domain-containing protein	other	1701	3.805985927581787
64	FEOBHI_08915 Mobilization protein	other	1545	5.388348255157469
65	FEOBHI_12800 Group-specific protein	other	1776	6.6010847091674805
66	FEOBHI_03015 50S ribosomal protein L30	core	1524	4.71915123462677
67	FEOBHI_02165 Secreted protein	other	1677	7.3928017234802255
68	FEOBHI_03550 UPF0337 protein SAV1625	other	1623	6.13462459564209
69	FEOBHI_07570 preprotein translocase subunit SecE	other	1575	3.9718720531463623
70	FEOBHI_09235 Cytosolic protein	other	1563	9.002030601501442
71	FEOBHI_12370 Phosphoribosylaminoimidazole synthetase	other	1596	8.298245811462396
72	FEOBHI_02595 Mid2-like cell wall stress sensor domain protein	other	1734	7.115013961791998
73	FEOBHI_02990 type Z 30S ribosomal protein S14	core	1752	3.6017036604881287
74	FEOBHI_04315 DUF3113 domain-containing protein	other	1623	8.588917083740231
75	FEOBHI_04545 Lipoprotein	other	1614	6.222472352981527
76	FEOBHI_06000 Transmembrane protein	other	1590	7.816731371879569
77	FEOBHI_08180 DUF2929 domain-containing protein	other	1725	5.424956741333007
78	FEOBHI_12320 Group-specific protein	other	1713	6.416312980651849
79	FEOBHI_12405 DNA-binding transcriptional regulator, XRE-family HTH domain	other	1701	8.62763500213623
80	FEOBHI_04950 4-oxalocrotonate tautomerase	other	1737	6.006409721374507
81	FEOBHI_05140 LapA family protein	other	1659	5.921794977188111
82	FEOBHI_05675 50S ribosomal protein L28	core	1614	4.558098888397216
83	FEOBHI_05940 DNA-binding protein	other	1689	6.330512351989739
84	FEOBHI_11445 4-hydroxy-2-ketovalerate aldolase	other	1731	6.4915936946869035
85	FEOBHI_13375 MbpX	other	1788	8.029873380660996
86	FEOBHI_00210 Restriction endonuclease subunit S	other	1680	6.037416706085206
87	FEOBHI_01790 S-methyl-5-thioribose-1-phosphate isomerase	other	1683	5.086202106475831
88	FEOBHI_02590 Phosphoglycolate phosphatase	other	1653	6.494181442260743
89	FEOBHI_04255 Helix-turn-helix domain-containing protein	other	1596	9.470720338821403
90	FEOBHI_05180 LSM domain protein	other	1575	8.067464733123778
