gene_idx	gene_name	category	n_train_flipped	n_val_flipped	n_val_not_flipped	cutoff_99th	tp	fp	fn	tn	sensitivity	specificity	false_positive_rate	dor	log10_dor
4844	GGOKJO_12595 hypothetical protein	other	1755	261	87093	4.711152162551881	260	1	1	87092	0.9961685823754789	0.9999885180209661	1.1481979033906284e-05	22643920.0	7.354951611871454
5323	PCLKBG_11395 putative sugar epimerase, cupin superfamily	other	1683	315	87039	5.131778287887578	314	3	1	87036	0.9968253968253968	0.9999655326922414	3.446730775859098e-05	9109768.0	6.959507316862924
227	FEOBHI_07685 phosphocarrier protein HPr	other	1659	306	87048	3.3359743165969853	305	6	1	87042	0.9967320261437909	0.9999310725117176	6.892748828232699e-05	4424635.0	6.645877450395656
940	FEOBHI_08660 two-component system response regulator VraR	other	1800	339	87015	4.406672616004943	338	9	1	87006	0.9970501474926253	0.9998965695569729	0.0001034304430270643	3267558.6666666665	6.514223393767771
1252	FEOBHI_01570 Hydroxymethylpyrimidine pyrophosphatase and other HAD family phosphatases	other	1668	336	87018	4.1772298955917355	335	9	1	87009	0.9970238095238095	0.9998965731228022	0.00010342687719782114	3238668.3333333335	6.510366474907857
988	FEOBHI_04610 (d)CMP kinase	other	1644	336	87018	3.8758497047424307	335	9	1	87009	0.9970238095238095	0.9998965731228022	0.00010342687719782114	3238668.3333333335	6.510366474907857
1139	FEOBHI_05640 3-oxoacyl-[acyl-carrier-protein] reductase	other	1632	318	87036	3.3166480135917666	317	9	1	87027	0.9968553459119497	0.9998965945126155	0.00010340548738453054	3065284.3333333335	6.486470765533179
672	FEOBHI_06165 pantetheine-phosphate adenylyltransferase	other	1662	306	87048	3.1009717726707438	305	9	1	87039	0.9967320261437909	0.9998966087675765	0.00010339123242349049	2949655.0	6.469771222636374
132	FEOBHI_10235 F0F1 ATP synthase subunit C	core	1695	399	86955	3.432607164382934	397	6	2	86949	0.9949874686716792	0.9999309987924788	6.900120752113163e-05	2876562.75	6.45887385226435
1298	FEOBHI_07865 1,4-dihydroxy-2-naphthoyl-CoA synthase	other	1758	294	87060	3.44893986940384	293	9	1	87051	0.9965986394557823	0.9998966230186078	0.00010337698139214335	2833993.6666666665	6.45239887536282
3244	MDBBCG_05550 Exotoxin	other	1632	294	87060	5.042483563423157	293	9	1	87051	0.9965986394557823	0.9998966230186078	0.00010337698139214335	2833993.6666666665	6.45239887536282
643	FEOBHI_03300 transcriptional regulator NrdR	other	1623	258	87096	2.4364535760879518	257	9	1	87087	0.9961240310077519	0.99989666574814	0.00010333425186001654	2486817.6666666665	6.395643943989906
4982	OJEMIL_08290 Leukocidin S subunit lukE	other	1575	255	87099	4.835172729492188	254	9	1	87090	0.996078431372549	0.9998966693073399	0.00010333069266007646	2457873.3333333335	6.3905594977319495
757	FEOBHI_03680 putative phosphohydrolase YqeG, HAD superfamily	other	1584	339	87015	4.312311363220215	338	12	1	87003	0.9970501474926253	0.9998620927426306	0.00013790725736941906	2450584.5	6.389269682262243
1033	FEOBHI_02100 2,3-diphosphoglycerate-dependent phosphoglycerate mutase	other	1653	312	87042	2.4067765712738036	310	6	2	87036	0.9935897435897436	0.9999310677603915	6.893223960846487e-05	2248430.0	6.351879371296019
4114	JABGIB_12275 polymorphic toxin type 50 domain-containing protein	other	1569	309	87045	3.865041399002072	307	6	2	87039	0.9935275080906149	0.9999310701361365	6.892986386351888e-05	2226747.75	6.347671022158474
4833	GGOKJO_07925 FeoB-associated Cys-rich membrane protein	other	1629	291	87063	4.753406696319581	287	3	4	87060	0.9862542955326461	0.9999655421935839	3.445780641604355e-05	2082185.0	6.318519313507747
1496	FEOBHI_11105 acetyl-CoA carboxylase carboxyltransferase subunit alpha	other	1602	288	87066	3.5871799683570864	286	6	2	87060	0.9930555555555556	0.9999310867617669	6.891323823306458e-05	2074930.0	6.317003449902797
4976	OJEMIL_08230 hypothetical protein	other	1698	306	87048	4.572444438934326	305	13	1	87035	0.9967320261437909	0.9998506571087217	0.00014934289127837514	2041975.0	6.310050420694814
5433	JNPAEA_12960 Pathogenicity island protein	other	1590	279	87075	5.11736663341522	278	12	1	87063	0.996415770609319	0.9998621877691645	0.00013781223083548665	2016959.5	6.30469717778485
