variation	gene_idx	gene_name	category	n_train_flipped	n_val_flipped	n_val_not_flipped	cutoff_99th	tp	fp	fn	tn	sensitivity	specificity	false_positive_rate	dor	log10_dor
1	4700	PODMID_10215 Lipoprotein	other	514	109	29009	6.017849087715151	108	1	1	29008	0.9908256880733946	0.9999655279396049	3.447206039504981e-05	3132864.0	6.495941542238383
1	5322	PCLKBG_07600 hypothetical protein	other	584	118	29000	6.70133777618408	117	2	1	28998	0.9915254237288136	0.9999310344827587	6.896551724137931e-05	1696383.0	6.229523911604705
1	3392	MDBBCG_03710 Chalcone/flavanone-binding protein YndB, AHSA1/START/SRPBCC domain	other	585	116	29002	5.306464977264403	115	2	1	29000	0.9913793103448276	0.9999310392386732	6.896076132680504e-05	1667500.0	6.222065842588586
1	3480	LFCCLA_03805 Amino acid permease	resistance	571	110	29008	7.394235372543313	108	1	2	29007	0.9818181818181818	0.9999655267512411	3.447324875896305e-05	1566378.0	6.194896574774628
1	3771	EABLDB_00365 TIGR01741 family protein	other	598	124	28994	5.6685887956619245	123	3	1	28991	0.9919354838709677	0.9998965303166172	0.00010346968338276885	1188631.0	6.0750470526539555
1	2592	FEOBHI_11610 bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU	other	566	116	29002	4.5718303442001345	115	3	1	28999	0.9913793103448276	0.9998965588580098	0.00010344114199020757	1111628.3333333333	6.045959607602908
1	162	FEOBHI_05635 acyl carrier protein	other	573	115	29003	3.7782484912872314	114	3	1	29000	0.991304347826087	0.9998965624245768	0.00010343757542323209	1102000.0	6.042181594515767
1	1567	FEOBHI_07310 phosphate acetyltransferase	other	564	114	29004	4.779341778755188	113	3	1	29001	0.9912280701754386	0.9998965659908978	0.0001034340091021928	1092371.0	6.0383701620763075
1	5141	DGIMHL_10270 Phage protein	phage	553	114	29004	7.191647720336919	113	3	1	29001	0.9912280701754386	0.9998965659908978	0.0001034340091021928	1092371.0	6.0383701620763075
1	4956	OPENLO_10600 Na+/H+ antiporter Mnh1 subunit C	other	551	113	29005	6.561686277389526	112	3	1	29002	0.9911504424778761	0.9998965695569729	0.0001034304430270643	1082741.3333333333	6.0345247161602975
1	305	FEOBHI_08225 Fe-S protein maturation auxiliary factor SufT	iron_fes	566	112	29006	4.496867775917069	111	3	1	29003	0.9910714285714286	0.9998965731228022	0.00010342687719782114	1073111.0	6.030644646657669
1	988	FEOBHI_04610 (d)CMP kinase	other	548	112	29006	4.931483926773072	111	3	1	29003	0.9910714285714286	0.9998965731228022	0.00010342687719782114	1073111.0	6.030644646657669
1	5582	FKLKKC_09160 UPF0435 protein	other	605	112	29006	5.9890295600891115	111	3	1	29003	0.9910714285714286	0.9998965731228022	0.00010342687719782114	1073111.0	6.030644646657669
1	4189	JABGIB_01585 Protein ADP-ribosyltransferase	other	544	111	29007	6.190936636924745	110	3	1	29004	0.990990990990991	0.9998965766883856	0.0001034233116144379	1063480.0	6.026729326893838
1	5076	EFLOIL_11775 Phage protein	phage	608	111	29007	5.3338756132125855	110	3	1	29004	0.990990990990991	0.9998965766883856	0.0001034233116144379	1063480.0	6.026729326893838
1	3197	MDBBCG_10320 Transposase	other	569	110	29008	5.594304046630875	109	3	1	29005	0.990909090909091	0.9998965802537231	0.00010341974627688913	1053848.3333333333	6.022778113024577
1	3346	MDBBCG_05770 indole-3-glycerol phosphate synthase TrpC	other	577	109	29009	5.414488639831545	108	3	1	29006	0.9908256880733946	0.9998965838188149	0.00010341618118514943	1044216.0	6.018790343403019
1	5241	CKPJDJ_00390 DUF4064 domain-containing protein	other	546	108	29010	6.36324861049652	107	3	1	29007	0.9907407407407407	0.9998965873836608	0.00010341261633919338	1034583.0	6.014765337917207
1	566	FEOBHI_02960 50S ribosomal protein L16	core	531	107	29011	3.512992072105412	106	3	1	29008	0.9906542056074766	0.999896590948261	0.00010340905173899556	1024949.3333333334	6.010702397296542
1	3843	GFNPHG_03095 competence protein ComGF	other	557	107	29011	6.091432971954339	106	3	1	29008	0.9906542056074766	0.999896590948261	0.00010340905173899556	1024949.3333333334	6.010702397296542
1	4824	GGOKJO_10330 hypothetical protein	other	528	106	29012	5.223450627326966	105	3	1	29009	0.9905660377358491	0.9998965945126155	0.00010340548738453054	1015315.0	6.006600802385366
1	5447	HPMCHE_10825 YopX domain-containing protein	other	542	106	29012	5.564180393218995	105	3	1	29009	0.9905660377358491	0.9998965945126155	0.00010340548738453054	1015315.0	6.006600802385366
1	423	FEOBHI_10965 DUF2294 domain-containing protein	other	541	105	29013	4.478015613555916	104	3	1	29010	0.9904761904761905	0.9998965980767243	0.00010340192327577293	1005680.0	6.002459813381782
1	2661	ELEGCC_09355 Phage protein	phage	541	107	29011	6.944526386260987	104	1	3	29010	0.9719626168224299	0.999965530316087	3.446968391299852e-05	1005680.0	6.002459813381782
1	4803	PIPDJJ_11350 hypothetical protein	other	519	105	29013	5.686000738143921	104	3	1	29010	0.9904761904761905	0.9998965980767243	0.00010340192327577293	1005680.0	6.002459813381782
1	3747	EABLDB_07185 Transposase	other	531	104	29014	6.667188167572023	103	3	1	29011	0.9903846153846154	0.9998966016405874	0.00010339835941269732	996044.3333333334	5.998278669039702
1	235	FEOBHI_04630 DNA-binding protein HU	other	534	103	29015	3.86965053081512	102	3	1	29012	0.9902912621359223	0.9998966052042048	0.0001033947957952783	986408.0	5.994056585831964
1	1081	FEOBHI_03265 DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	other	584	103	29015	4.352840766906726	102	3	1	29012	0.9902912621359223	0.9998966052042048	0.0001033947957952783	986408.0	5.994056585831964
1	227	FEOBHI_07685 phosphocarrier protein HPr	other	553	102	29016	4.2044075584411775	101	3	1	29013	0.9901960784313726	0.9998966087675765	0.00010339123242349049	976771.0	5.98979275707223
1	3677	GLIPDI_06650 Arylamine N-acetyltransferase	other	575	102	29016	7.048081169128417	101	3	1	29013	0.9901960784313726	0.9998966087675765	0.00010339123242349049	976771.0	5.98979275707223
1	4131	JABGIB_10425 DUF1264 domain-containing protein	other	536	102	29016	6.7588240146636895	101	3	1	29013	0.9901960784313726	0.9998966087675765	0.00010339123242349049	976771.0	5.98979275707223
1	4215	OANBGH_02740 hypothetical protein	other	562	102	29016	7.067437453269958	101	3	1	29013	0.9901960784313726	0.9998966087675765	0.00010339123242349049	976771.0	5.98979275707223
1	4697	PODMID_11605 DUF1433 domain-containing protein	other	589	102	29016	5.153412075042725	101	3	1	29013	0.9901960784313726	0.9998966087675765	0.00010339123242349049	976771.0	5.98979275707223
1	5303	PCLKBG_04325 Branched-chain amino acid transport protein	other	543	102	29016	6.059928245544436	101	3	1	29013	0.9901960784313726	0.9998966087675765	0.00010339123242349049	976771.0	5.98979275707223
1	3372	MDBBCG_03280 Cytosine-specific methyltransferase	other	557	100	29018	5.3119662475585905	99	3	1	29015	0.99	0.9998966158935833	0.00010338410641670687	957495.0	5.981136514778437
1	5100	EFLOIL_11770 HTH cro/C1-type domain-containing protein	other	555	99	29019	5.4395636653900175	98	3	1	29016	0.98989898989899	0.9998966194562183	0.00010338054378166029	947856.0	5.976742363545211
1	5407	PLMJAK_06625 Lipoprotein	other	543	99	29019	6.028145608901978	98	3	1	29016	0.98989898989899	0.9998966194562183	0.00010338054378166029	947856.0	5.976742363545211
